,Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones
87,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,EGFR P SRC,CHEMBL111197,30.0,0.158591479063034,0.97,0.4962407992836888,0.0,0.3425,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,427.2910000000001,5.054500000000003,1.0,6.0,1.0
89,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,EGFR P SRC,CHEMBL111434,670.0,0.0961012169718742,0.95,0.462025470804443,0.0,0.2966666666666666,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,476.1610000000001,5.8084000000000024,1.0,5.0,1.0
93,CN1CCN(c2ccc(Nc3ncc4cc(CNc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL5188948,17.0,0.0164967123419046,0.91,0.5262668300803847,0.0,0.03,CN1CCN(c2ccc(Nc3ncc4cc(CNc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,481.6480000000003,5.6539000000000055,2.0,7.0,1.0
95,CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL130163,2600.0,0.8480667471885681,0.98,0.0178970348672134,0.0,0.145,CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,508.5780000000003,4.612900000000003,1.0,6.0,1.0
96,COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL130049,2400.0,0.792951226234436,0.98,0.0215340862410256,0.0,0.2466666666666666,COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,524.5770000000002,4.832800000000003,1.0,7.0,1.0
97,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL4795878,40.0,0.0151124633848667,0.92,0.5741865470528842,0.0,0.3783333333333333,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,573.7270000000002,3.804300000000003,2.0,10.0,1.0
101,CNC(=S)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL337035,12500.0,0.8262639045715332,0.96,0.0267784639036826,0.0,0.4033333333333332,CNC(=S)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,539.6610000000003,4.570700000000003,2.0,6.0,1.0
108,CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL131020,1100.0,0.801344633102417,0.93,0.0070084390205686,0.0,0.15,CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,544.6330000000002,4.0260000000000025,1.0,7.0,1.0
111,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,EGFR P SRC,CHEMBL113023,250.0,0.1202164739370346,0.93,0.4901264397069498,0.0,0.195,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,441.31800000000015,5.3629200000000035,1.0,6.0,1.0
118,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL338935,220.0,0.9009318947792052,0.96,0.008057394318976,0.0,0.7433333333333333,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,523.5930000000002,3.551700000000003,2.0,7.0,1.0
121,COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL444337,1300.0,0.7862076163291931,0.93,0.0143465483390085,0.0,0.09,COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,538.6040000000003,4.239400000000003,1.0,8.0,1.0
125,Clc1cc(Nc2ncnc3nn4ccccc4c23)ccc1OCc1ccccc1,EGFR P STAT3,CHEMBL181742,50.12,0.0268491003662347,0.603406976744186,0.931369753478952,0.0,0.59,Clc1cc(Nc2ncnc3nn4ccccc4c23)ccc1OCc1ccccc1,401.8570000000002,5.2535000000000025,1.0,6.0,1.0
127,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325097,110.0,0.1504478007555008,0.2402,0.9188524864262914,0.0,0.43,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,382.8940000000002,6.848900000000005,0.0,2.0,1.0
128,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,EGFR P STAT3,CHEMBL424093,25.0,0.015158680267632,0.5384529537556803,0.9414545234252326,0.0,0.45,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,433.31300000000016,6.115200000000003,2.0,5.0,1.0
133,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc2ccccc2c1,EGFR P STAT3,CHEMBL2325087,660.0,0.2633677124977112,0.3102,0.934135285085264,0.0,0.03,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc2ccccc2c1,400.3340000000002,5.541300000000003,1.0,2.0,1.0
134,c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR P STAT3,CHEMBL2325088,2520.0,0.0728060752153396,0.2952,0.9024876078703156,0.0,0.02,c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,348.4490000000001,6.1955000000000044,0.0,2.0,1.0
137,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3c(-c4ccc(F)cc4)nc(SC)n3C)ccn2)c1,EGFR P STAT3,CHEMBL4441037,111.0,0.2338857799768448,0.5889189189189189,0.9193640404823018,0.0,0.0,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3c(-c4ccc(F)cc4)nc(SC)n3C)ccn2)c1,489.5760000000001,5.8868000000000045,2.0,7.0,1.0
150,O=C(/C=C/c1ccccc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR P STAT3,CHEMBL509914,9.12,0.0214261952787637,0.520406976744186,0.915551991080322,0.0,0.64,O=C(/C=C/c1ccccc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,445.32000000000005,5.355900000000004,1.0,5.0,1.0
154,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C1CCCN1C(=O)CC,EGFR P STAT3,CHEMBL3671575,196.0,0.4735824763774872,0.677258064516129,0.9179223207175646,0.0,0.4383333333333333,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C1CCCN1C(=O)CC,599.461,4.295500000000003,3.0,7.0,1.0
159,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,EGFR P STAT3,CHEMBL2325101,50.0,0.187866523861885,0.2702,0.9311245538243036,0.0,0.09,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,417.33900000000017,7.502300000000004,0.0,2.0,1.0
164,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,EGFR P STAT3,CHEMBL53203,5.8,0.093419499695301,0.67,0.9328141211660084,0.0,0.0533333333333333,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,382.42300000000006,5.290200000000003,2.0,5.0,1.0
165,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,EGFR P STAT3,CHEMBL4171764,2.61,0.0558663643896579,0.4079161068816241,0.910358002086269,0.0,0.665,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,360.28000000000026,5.076200000000002,1.0,4.0,1.0
168,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325096,300.0,0.0932468846440315,0.242,0.9270796649884449,0.0,0.025,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,366.43900000000014,6.3346000000000044,0.0,2.0,1.0
