Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo,after_P_
C=CC(=O)Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,EGFR P STAT3,CHEMBL5182567,2.2,0.1198832392692565,0.65,0.9046066523833164,0.0,0.2683333333333333,C=CC(=O)Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,408.25900000000007,4.7417000000000025,3.0,4.0,0.0,EGFR_P_STAT3,STAT3
Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,EGFR P STAT3,CHEMBL2325101,50.0,0.187866523861885,0.2702,0.9311245538243036,0.0,0.09,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,417.33900000000017,7.502300000000004,0.0,2.0,1.0,EGFR_P_STAT3,STAT3
COc1ccc(/C=N/c2nnc3c4ccccc4nc(Nc4ccc(C)cc4N)n23)cc1O,EGFR P STAT3,CHEMBL4646644,4280.0,0.0279710609465837,0.5933333333333334,0.9260414214860506,0.0,0.635,COc1ccc(/C=N/c2nnc3c4ccccc4nc(Nc4ccc(C)cc4N)n23)cc1O,439.47900000000016,4.376520000000003,3.0,9.0,0.0,EGFR_P_STAT3,STAT3
Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,EGFR P STAT3,CHEMBL93302,4.786,0.0364040210843086,0.490406976744186,0.9155722146318958,0.0,0.34,Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,316.158,3.841500000000001,2.0,4.0,0.0,EGFR_P_STAT3,STAT3
C=CCn1ccc2cc(Nc3ncnc4ccc(N)cc34)ccc21,EGFR P STAT3,CHEMBL5169328,351.9,0.008922534994781,0.5636373748609567,0.923397675449461,0.0,0.01,C=CCn1ccc2cc(Nc3ncnc4ccc(N)cc34)ccc21,315.38000000000005,4.096300000000002,2.0,5.0,0.0,EGFR_P_STAT3,STAT3
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,EGFR P STAT3,CHEMBL308133,1500000.0,0.2838276922702789,0.020406976744186,0.9202002114803538,0.0,0.0266666666666666,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,208.169,0.9448,3.0,3.0,0.0,EGFR_P_STAT3,STAT3
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,EGFR P STAT3,CHEMBL53203,5.8,0.093419499695301,0.67,0.9328141211660084,0.0,0.0533333333333333,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,382.42300000000006,5.290200000000003,2.0,5.0,1.0,EGFR_P_STAT3,STAT3
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,EGFR P STAT3,CHEMBL4171764,2.61,0.0558663643896579,0.4079161068816241,0.910358002086269,0.0,0.665,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,360.28000000000026,5.076200000000002,1.0,4.0,1.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1ccc2ccccc2c1,EGFR P STAT3,CHEMBL2324871,350.0,0.1104272976517677,0.3102,0.932484257402392,0.0,0.01,NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1ccc2ccccc2c1,410.34000000000015,4.997000000000003,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/OCc1ccccc1,EGFR P STAT3,CHEMBL255438,23.0,0.1496182531118393,0.6056266221727846,0.9011594121997156,0.0,0.2533333333333333,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/OCc1ccccc1,467.50800000000015,4.890200000000004,2.0,8.0,0.0,EGFR_P_STAT3,STAT3
Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325096,300.0,0.0932468846440315,0.242,0.9270796649884449,0.0,0.025,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,366.43900000000014,6.3346000000000044,0.0,2.0,1.0,EGFR_P_STAT3,STAT3
C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,EGFR P STAT3,CHEMBL540701,79.43,0.014278806746006,0.5650459770114943,0.9181130723445042,0.0,0.255,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,383.4510000000001,5.517200000000004,1.0,5.0,1.0,EGFR_P_STAT3,STAT3
Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,EGFR P STAT3,CHEMBL5208907,0.74,0.0125732757151126,0.5268355481727575,0.9097432220551392,0.0,0.605,Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,354.2110000000001,4.199400000000002,3.0,4.0,0.0,EGFR_P_STAT3,STAT3
Oc1ccc(Nc2nnnc3sc4c(c23)CCC4)cc1,EGFR P STAT3,CHEMBL4251297,38730.0,0.0662223994731903,0.4317560975609755,0.9741629934187258,0.0,0.02,Oc1ccc(Nc2nnnc3sc4c(c23)CCC4)cc1,284.344,3.0242000000000013,2.0,6.0,0.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(F)cc2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325103,8250.0,0.1401896178722381,0.302,0.920740404261819,0.0,0.06,NC(=S)N1N=C(c2ccc(F)cc2)CC1c1cccc2ccccc12,349.4340000000001,4.373600000000002,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,EGFR P STAT3,CHEMBL79215,1.0,0.007029206957668,0.47,0.9008916280186716,0.0,0.445,c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,465.5860000000001,6.099500000000004,3.0,7.0,1.0,EGFR_P_STAT3,STAT3
Cc1ccc2c(C)nc(Nc3nc(O)cc(CSc4nnnn4-c4ccccc4)n3)nc2c1,EGFR P STAT3,CHEMBL1365395,3920.0,0.0397551916539669,0.54,0.9045394753595768,0.0,0.35,Cc1ccc2c(C)nc(Nc3nc(O)cc(CSc4nnnn4-c4ccccc4)n3)nc2c1,457.52300000000014,3.75384,2.0,11.0,1.0,EGFR_P_STAT3,STAT3
Nc1ncnc2c1cnn2-c1ccccc1,EGFR P STAT3,CHEMBL65063,2700.0,0.0240307226777076,0.3731304790483334,0.9199410314066192,0.0,0.05,Nc1ncnc2c1cnn2-c1ccccc1,211.228,1.3977,1.0,5.0,0.0,EGFR_P_STAT3,STAT3
Cc1cccc(Nc2ncnc3[nH]c(C)c(C)c23)c1,EGFR P STAT3,CHEMBL307026,570.0,0.0241385251283645,0.3463230836258101,0.9087917845947904,0.0,0.01,Cc1cccc(Nc2ncnc3[nH]c(C)c(C)c23)c1,252.32100000000003,3.6267600000000018,2.0,3.0,0.0,EGFR_P_STAT3,STAT3
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,EGFR P STAT3,CHEMBL2325098,710.0,0.071808211505413,0.2702,0.9294037598347524,0.0,0.0633333333333333,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,427.34500000000014,6.9580000000000055,0.0,2.0,1.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325108,210.0,0.3183642625808716,0.3901999999999999,0.936104464342151,0.0,0.63,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,400.3340000000002,5.541300000000003,1.0,2.0,1.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325104,940.0,0.1918854117393493,0.3301999999999999,0.9118659971590984,0.0,0.08,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1cccc2ccccc12,365.88900000000007,4.887900000000003,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
Fc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,EGFR P STAT3,CHEMBL2325089,1070.0,0.118765652179718,0.237,0.9171716726969644,0.0,0.025,Fc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,366.4390000000002,6.3346000000000044,0.0,2.0,1.0,EGFR_P_STAT3,STAT3
OCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,EGFR P STAT3,CHEMBL204570,40.0,0.4312942624092102,0.72,0.916059377647192,0.0,0.04,OCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,460.8960000000002,4.878800000000003,2.0,6.0,0.0,EGFR_P_STAT3,STAT3
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,EGFR P STAT3,CHEMBL137189,200.0,0.0211564619094133,0.5184529537556802,0.9351196340557688,0.0,0.33,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,292.34600000000006,4.090720000000002,2.0,5.0,0.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccccc2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325102,2230.0,0.0927117466926574,0.3301999999999999,0.9226325291800636,0.0,0.175,NC(=S)N1N=C(c2ccccc2)CC1c1cccc2ccccc12,331.4440000000001,4.234500000000002,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
OCc1ccc(-c2cc3c(Nc4ccccc4)ncnc3s2)cc1,EGFR P STAT3,CHEMBL3759257,21.0,0.0340513102710247,0.4150459770114942,0.9092551774427624,0.0,0.44,OCc1ccc(-c2cc3c(Nc4ccccc4)ncnc3s2)cc1,333.41600000000005,4.5942000000000025,2.0,5.0,0.0,EGFR_P_STAT3,STAT3
