,Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2
35,EGFR_MAPK1_1029,-7.4320817,-7.67370224,7.0450902,7.19972038,0.787610471,0.695274174,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1029_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1029_MAPK1.pdbqt,EGFR,MAPK1
36,EGFR_MAPK1_103,-7.98330641,-7.86576176,6.96649218,6.3878417,0.763228655,0.441322416,Mejores_poses/bases_conjuntas/EGFR_MAPK1_103_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_103_MAPK1.pdbqt,EGFR,MAPK1
37,EGFR_MAPK1_1030,-7.38128233,-6.05692244,6.0419693,6.10994577,0.399040163,0.559033811,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1030_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1030_MAPK1.pdbqt,EGFR,MAPK1
38,EGFR_MAPK1_1031,-7.48575687,-9.81563377,6.86391592,7.38805389,0.750960648,0.619095027,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1031_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1031_MAPK1.pdbqt,EGFR,MAPK1
39,EGFR_MAPK1_1032,-8.48905754,-10.1698256,6.64178324,7.93235588,0.730208457,0.750754476,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1032_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1032_MAPK1.pdbqt,EGFR,MAPK1
40,EGFR_MAPK1_1033,-9.97488785,-8.16939449,7.1667428,6.11287069,0.600101769,0.357521892,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1033_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1033_MAPK1.pdbqt,EGFR,MAPK1
41,EGFR_MAPK1_1034,-9.97557926,-9.47164917,7.02137232,6.75751495,0.752747357,0.674571633,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1034_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1034_MAPK1.pdbqt,EGFR,MAPK1
42,EGFR_MAPK1_1035,-9.73741245,-10.5690928,7.70048666,8.29784775,0.36803472,0.377597332,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1035_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1035_MAPK1.pdbqt,EGFR,MAPK1
43,EGFR_MAPK1_1036,-9.36813259,-10.5952988,6.26146507,7.11698341,0.36731112,0.554555774,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1036_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1036_MAPK1.pdbqt,EGFR,MAPK1
44,EGFR_MAPK1_1037,-7.83947229,-6.84705162,6.09797239,6.59416819,0.508408129,0.526900768,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1037_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1037_MAPK1.pdbqt,EGFR,MAPK1
45,EGFR_MAPK1_1038,-6.06841898,-7.54292488,6.52716208,6.93582535,0.726541162,0.674376249,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1038_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1038_MAPK1.pdbqt,EGFR,MAPK1
46,EGFR_MAPK1_1039,-7.68295717,-7.1461606,7.10453606,5.57937193,0.759404957,0.543464005,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1039_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1039_MAPK1.pdbqt,EGFR,MAPK1
47,EGFR_MAPK1_104,-6.83321142,-6.99350929,6.21679688,5.3685956,0.604948759,0.678838432,Mejores_poses/bases_conjuntas/EGFR_MAPK1_104_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_104_MAPK1.pdbqt,EGFR,MAPK1
48,EGFR_MAPK1_1040,-7.01176643,-8.21942329,6.81678057,7.18223524,0.626223683,0.505327702,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1040_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1040_MAPK1.pdbqt,EGFR,MAPK1
49,EGFR_MAPK1_1041,-8.30177784,-10.4398155,6.99972343,7.89451742,0.713200629,0.693044245,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1041_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1041_MAPK1.pdbqt,EGFR,MAPK1
50,EGFR_MAPK1_1042,-10.4038706,-9.4188118,7.80462837,7.3864646,0.730590224,0.580496669,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1042_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1042_MAPK1.pdbqt,EGFR,MAPK1
51,EGFR_MAPK1_1043,-9.32831478,-7.71084023,7.65920591,7.80201006,0.598855197,0.583771586,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1043_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1043_MAPK1.pdbqt,EGFR,MAPK1
52,EGFR_MAPK1_1044,-9.05081463,-8.81936836,7.18917847,7.4344902,0.479210138,0.670265436,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1044_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1044_MAPK1.pdbqt,EGFR,MAPK1
53,EGFR_MAPK1_1045,-7.65304232,-8.51321316,7.71416998,7.19878531,0.776385963,0.574454129,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1045_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1045_MAPK1.pdbqt,EGFR,MAPK1
54,EGFR_MAPK1_1046,-10.4926624,-8.10245991,7.59644318,7.18244743,0.601018548,0.451825827,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1046_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1046_MAPK1.pdbqt,EGFR,MAPK1
55,EGFR_MAPK1_1047,-7.03619099,-8.7491827,6.01623106,6.61702538,0.536880732,0.492923975,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1047_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1047_MAPK1.pdbqt,EGFR,MAPK1
56,EGFR_MAPK1_1048,-7.558465,-7.03259945,6.64882517,6.25793266,0.583244383,0.570690155,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1048_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1048_MAPK1.pdbqt,EGFR,MAPK1
57,EGFR_MAPK1_1049,-11.0075741,-11.0259447,8.05384827,7.81295156,0.724656343,0.478807062,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1049_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1049_MAPK1.pdbqt,EGFR,MAPK1
58,EGFR_MAPK1_105,-7.58942604,-7.7670331,6.10136414,6.67962313,0.545580685,0.384939164,Mejores_poses/bases_conjuntas/EGFR_MAPK1_105_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_105_MAPK1.pdbqt,EGFR,MAPK1
59,EGFR_MAPK1_1050,-7.20986271,-6.45051193,7.31396723,6.69370842,0.595835268,0.661303401,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1050_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1050_MAPK1.pdbqt,EGFR,MAPK1
60,EGFR_MAPK1_1051,-7.620368,-7.52231646,7.23155212,6.94697714,0.812446773,0.692732573,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1051_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1051_MAPK1.pdbqt,EGFR,MAPK1
61,EGFR_MAPK1_1052,-6.93625736,-10.8259392,6.68408442,7.09878397,0.621698022,0.669505835,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1052_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1052_MAPK1.pdbqt,EGFR,MAPK1
62,EGFR_MAPK1_1053,-6.47724056,-7.83119869,6.6675086,6.82856512,0.846785188,0.624168217,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1053_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1053_MAPK1.pdbqt,EGFR,MAPK1
63,EGFR_MAPK1_1054,-7.20223236,-6.20335054,7.10606337,6.75756598,0.792023182,0.682794154,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1054_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1054_MAPK1.pdbqt,EGFR,MAPK1
64,EGFR_MAPK1_1055,-8.1479311,-9.73018646,7.62833166,7.76157713,0.764306903,0.820947587,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1055_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1055_MAPK1.pdbqt,EGFR,MAPK1
65,EGFR_MAPK1_1056,-9.1550684,-9.34457207,7.00422287,7.06511545,0.555417359,0.724108636,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1056_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1056_MAPK1.pdbqt,EGFR,MAPK1
